loss,dice_coef,mean_io_u,recall,precision,val_loss,val_dice_coef,val_mean_io_u,val_recall,val_precision,lr
0.2526, 0.7474, 0.4286, 0.5028, 0.6495, 0.2219, 0.7781, 0.4286, 0.5924, 0.6800, 9.999999747378752e-06
0.2111, 0.7890, 0.4286, 0.6087, 0.7090, 0.2337, 0.7663, 0.4286, 0.5827, 0.6529, 9.999999747378752e-06
0.21123990416526794,0.7887853384017944,0.4285718500614166,0.6098503470420837,0.7085961103439331,0.22745637595653534,0.7725439071655273,0.4285716414451599,0.5954481363296509,0.6594583988189697,9.999999747378752e-06
0.19848139584064484,0.8015452027320862,0.428571879863739,0.6431888937950134,0.7194059491157532,0.22205233573913574,0.7779476046562195,0.4285716414451599,0.6105800271034241,0.6549772024154663,9.999999747378752e-06
0.18266135454177856,0.8173648118972778,0.42857202887535095,0.6743946671485901,0.7412523031234741,0.2233022004365921,0.7766983509063721,0.4288460612297058,0.6091046333312988,0.6473867893218994,9.999999747378752e-06
0.17730894684791565,0.822719156742096,0.42857226729393005,0.6844399571418762,0.7463924288749695,0.21618720889091492,0.783812403678894,0.4287128448486328,0.6258243322372437,0.6627737879753113,9.999999747378752e-06
0.1707, 0.8294, 0.4286, 0.6926, 0.7574, 0.2269, 0.7731, 0.4286, 0.5917, 0.6355, 9.999999747378752e-06
0.1659, 0.8341, 0.4286, 0.6979, 0.7662, 0.2255, 0.7745, 0.4286, 0.5913, 0.6467, 9.999999747378752e-06
0.1608, 0.8392, 0.4286, 0.7008, 0.7783, 0.2245, 0.7755, 0.4286, 0.5738, 0.6665, 9.999999747378752e-06
0.1549, 0.8451, 0.4286, 0.7053, 0.7922, 0.2236, 0.7764, 0.4286, 0.5794, 0.6569, 9.999999747378752e-06
